number,label,status,composite,computational_handle,counterexample_reachable,accessibility,depth_required,problem_type,attack_vector,rationale,statement
451,#451,open,66.0,5,1,4,3,existence,"Write code to compute n_k for k=1..1000: for each k, iterate n from 2k+1 upward, check if product of (n-1)(n-2)...(n-k+1) has any prime factor in (k,2k), stop when none found.","The objects are elementary (integers, prime factors, products) and each n_k is directly computable by finite search. The problem asks for an estimate/asymptotic, so code can generate extensive data to suggest growth rates or patterns, making this a strong computational target.","Estimate $n_k$, the smallest integer $> 2k$ such that $\prod_{1 \le i < k}(n_k - i)$ has no prime factor in $(k, 2k)$."
470,#470,open,66.0,4,2,5,2,existence,Enumerate odd abundant numbers and check the weird condition (sum of subsets of proper divisors never equals n); also enumerate primitive weird numbers up to large bounds,"Weird numbers (abundant but not pseudoperfect) are elementary to define and check computationally via subset-sum on divisors. Odd weird numbers are strongly suspected not to exist but no proof exists; primitive weird numbers exist but finiteness/infinitude is open, and computation can find more examples but likely cannot resolve either question.","Are there any odd weird numbers? Are there infinitely many primitive weird numbers, i.e. those such that no proper divisor of $n$ is weird?"
472,#472,open,66.0,5,1,4,3,existence,"Write code to simulate the sequence for all small starting sequences (e.g., all pairs/triples of primes up to 100) and check whether any run for many steps without terminating; look for cycles or unbounded growth.","The objects are just primes and arithmetic, making it very accessible and directly simulable. A computer can exhaustively test many starting sequences to find ones that persist long or provably terminate, giving strong empirical evidence toward an existence answer.",Given some initial finite sequence of primes $q_1 < \cdots < q_m$ extend it so that $q_{n+1}$ is the smallest prime of the form $q_n + q_i - 1$ for $n \geq m$. Is there an initial starting sequence so that the resulting sequence is infinite?
865,#865,open,66.0,4,2,5,2,existence,"For small N, enumerate subsets of {1,...,N} of size >= 5N/8 + C and check whether any lacks a Schur-like triple {a,b,c} with all pairwise sums in A; find extremal sets to probe the 5/8 threshold.","The objects are entirely elementary (sets of integers, pairwise sums), and the 5/8 threshold is a known critical density making small-case computation meaningful. However, proving the existence of such C requires structural arguments about sumsets near the threshold, so pure computation cannot resolve it.","There exists a constant $C > 0$ such that, for all large $N$, if $A \subseteq \{1,\ldots,N\}$ has size at least $\frac{5}{8}N + C$ then there are distinct $a, b, c \in A$ such that $a + b, a + c, b + c \in A$."
1056,#1056,open,66.0,5,1,4,3,existence,"For small k (2,3,4), search over primes p and consecutive intervals to find examples where products of consecutive integers ≡ 1 mod p; verify existence computationally.","The objects are elementary (primes, consecutive integer intervals, modular products) and directly searchable by computer for small k and p. This is an existence problem so 'counterexample' axis is N/A, but computational experiments can confirm or cast doubt on existence for each fixed k.","Let $k \geq 2$. Does there exist a prime $p$ and consecutive intervals $I_1, \ldots, I_k$ such that \[\prod_{n \in I_i} n \equiv 1 \pmod{p}\] for all $1 \leq i \leq k$?"
1059,#1059,open,66.0,4,2,5,2,universal,"For each prime p, check all k with k! < p and verify all p - k! are composite; enumerate primes to find examples or exhaust small cases","Objects are entirely elementary (primes, factorials, compositeness checks) and directly computable. Finding examples is easy computationally, but proving infinitely many exist requires sieve-type arguments that are likely hard.",Are there infinitely many primes $p$ such that $p - k!$ is composite for each $k$ such that $1 \leq k! < p$?
1062,#1062,open,66.0,4,2,5,2,exact_value,"Compute f(n) for n up to ~10000 via greedy/DP (exclude sets where any element divides two others), estimate f(n)/n numerically to high precision and check rationality heuristically","The objects are elementary (subsets of integers with divisibility constraints) and small cases are directly computable. However, the core question about irrationality of the limit is analytic/number-theoretic and unlikely to be resolved by computation alone; the limit likely involves known constants (e.g., related to densities of antichains) but proving irrationality is deep.","Let $f(n)$ be the size of the largest subset $A \subseteq \{1,\ldots,n\}$ such that there are no three distinct elements $a, b, c \in A$ such that $a \mid b$ and $a \mid c$. How large can $f(n)$ be? Is $\lim f(n)/n$ irrational?"
1212,#1212,open,66.0,5,1,4,3,existence,"BFS/DFS on the graph restricted to nodes (x,y) with gcd(x,y)=1, min(x,y)>1, and at least one composite; search for arbitrarily long paths or an infinite connected component","The graph and constraints are elementary (coprime pairs, composites, unit steps), and a computer can directly search for long paths satisfying all conditions in moderate coordinate ranges. Finding a very long path (or proving connectivity of the constrained subgraph) gives strong evidence for existence.","Let $G$ be the graph with vertex set those pairs $(x, y) \in \mathbb{N}^2$ with $\gcd(x, y) = 1$, in which we join two vertices if they differ in only one coordinate, and there by $\pm 1$. Is there a path going to infinity on $G$, say $P$, such that for all $(x, y) \in P$ both $\min(x, y) > 1$ and at least one of $x$ or $y$ is composite?"
238,#238,open,65.0,4,2,4,3,existence,"For fixed c1,c2, search for long runs of consecutive primes up to x where all pairwise gaps exceed c2; check if count of primes in such runs exceeds c1*log(x)","The objects are elementary (consecutive primes, gaps) and small cases are computable, but the problem asks for an asymptotic existence statement that requires understanding prime gap distributions at scale. Computational experiments can suggest plausibility but cannot resolve the asymptotic claim.","Let $c_1, c_2 > 0$. Is it true that, for any sufficiently large $x$, there exist more than $c_1 \log x$ many consecutive primes $\leq x$ such that the difference between any two is $> c_2$?"
348,#348,open,65.0,4,2,4,3,existence,"Enumerate small complete sequences and test which (m,n) pairs are achievable by checking completeness after all subsets of removals up to size n.","The objects (complete sequences, subset sums) are elementary and computationally testable for small cases. The question asks to characterize feasible (m,n) pairs, which likely has a clean answer (e.g., all pairs with m<n, or only specific ones), and small experiments could strongly suggest the pattern.","For what values of $0 \leq m < n$ is there a complete sequence $A = \{a_1 \leq a_2 \leq \cdots\}$ of integers such that \begin{itemize} \item $A$ remains complete after removing any $m$ elements, but \item $A$ is not complete after removing any $n$ elements? \end{itemize}"
382,#382,open,64.0,4,3,3,2,universal,"Search over intervals [u,v] for cases where the largest prime factor of the product appears with exponent >=2, and measure v-u as a function of v to see how large gaps get","The objects are elementary (prime factorizations of products over integer intervals) and small cases are directly computable. However, both sub-questions touch deep analytic number theory about prime gaps and smooth numbers, making the problem harder than it looks computationally.",Let $u \leq v$ be such that the largest prime dividing $\prod_{u \leq m \leq v} m$ appears with exponent at least $2$. Is it true that $v - u = v^{o(1)}$? Can $v - u$ be arbitrarily large?
404,#404,open,64.0,4,3,3,2,existence,"Fix small primes p=2,3,5 and small a; for each, search over finite sets {a=a1<...<an} to find max k with p^k | sum of factorials, mapping out f(a,p) empirically","Objects are elementary (factorials, p-adic valuations) making experimentation feasible, but the problem has multiple intertwined sub-questions (finiteness of bound, behavior of f, infinite sequence with growing valuation) requiring genuine number-theoretic insight. Computational exploration can map small cases but the asymptotic and existence parts likely need deep p-adic analysis.","For which integers $a \geq 1$ and primes $p$ is there a finite upper bound on those $k$ such that there are $a = a_1 < \cdots < a_n$ with $p^k \mid (a_1! + \cdots + a_n!)$? If $f(a,p)$ is the greatest such $k$, how does this function behave? Is there a prime $p$ and an infinite sequence $a_1 < a_2 < \cdots$ such that if $p^{m_k}$ is the highest power of $p$ dividing $\sum_{i \leq k} a_i!$ then $m_k \to \infty$?"
430,#430,open,64.0,4,3,3,2,universal,"Fix small n, compute the greedy sequence starting from a_1 near n, check primality of all terms; search for n where sequence is all-prime or prove it cannot be","The objects are integers and prime factors, so fairly accessible, and the sequence is explicitly computable for concrete n. However the statement is slightly ambiguous (a_1 is not defined) making full formalization tricky, and the asymptotic claim requires more than just finite checking.","For $k \geq 2$, letting $a_k$ be the greatest integer in $[1, a_{k-1})$ such that all of the prime factors of $a_k$ are $> n - a_k$. Is it true that, for sufficiently large $n$, not all of this sequence can be prime?"
461,#461,open,64.0,4,3,3,2,universal,"For small t (e.g., t=10..100), enumerate all n up to 10^6, compute s_t(m) for m in [n+1,n+t], count distinct values, and find the minimum of f(n,t)/t to check if it stays bounded away from 0.","The objects (smooth parts of integers in short intervals) are concrete and computable, making systematic experiments feasible for moderate t. However, proving a uniform lower bound f(n,t) >> t likely requires deep analytic number theory about smooth numbers in short intervals, so computation mainly provides evidence rather than resolution.","Let $s_t(n)$ be the $t$-smooth component of $n$ - that is, the product of all primes $p$ (with multiplicity) dividing $n$ such that $p < t$. Let $f(n,t)$ count the number of distinct possible values for $s_t(m)$ for $m \in [n+1, n+t]$. Is it true that $$f(n,t) \gg t$$ (uniformly, for all $t$ and $n$)?"
770,#770,open,64.0,4,3,3,2,other,"Compute h(n) for n up to 10^4-10^5: find which prime p divides gcd of some pair a^n-1, b^n-1 (using cyclotomic/order arguments), then empirically check density claims and the epsilon condition.","h(n) is definable via gcd computations on small integers, making direct computation feasible for moderate n. The three sub-questions mix density/asymptotic and universal claims, so experiments can give strong evidence for the density and liminf questions but proving them requires deeper analytic number theory.","Let $h(n)$ be minimal such that $2^n - 1, 3^n - 1, \ldots, h(n)^n - 1$ are mutually coprime. Does, for every prime $p$, the density $\delta_p$ of integers with $h(n) = p$ exist? Does $\liminf h(n) = \infty$? Is it true that if $p$ is the greatest prime such that $p - 1 \mid n$ and $p > n^\epsilon$ then $h(n) = p$?"
883,#883,open,64.0,4,3,3,2,universal,"For small n (say n<=50), enumerate subsets A with |A| just above the threshold, build the coprimality graph, and check for odd cycles of length <= n/3+1 and complete tripartite subgraphs K(1,l,l).","The objects (integers, coprimality, subsets) are elementary and the threshold is explicit, making small-case computation feasible. However the search space grows fast and the problem has two conjoined conjectures, likely requiring structural number-theoretic arguments beyond pure search.","For $A \subseteq \{1,\ldots,n\}$ let $G(A)$ be the graph with vertex set $A$, where two integers are joined by an edge if they are coprime. Is it true that if $|A| > \lfloor\frac{n}{2}\rfloor + \lfloor\frac{n}{3}\rfloor - \lfloor\frac{n}{6}\rfloor$ then $G(A)$ contains all odd cycles of length $\leq \frac{n}{3} + 1$? Is it true that, for every $\ell \geq 1$, if $n$ is sufficiently large and $|A| > \lfloor\frac{n}{2}\rfloor + \lfloor\frac{n}{3}\rfloor - \lfloor\frac{n}{6}\rfloor$ then $G(A)$ must contain a complete $(1,\ell,\ell)$ tripartite graph on $2\ell + 1$ vertices?"
313,#313,open,63.0,4,1,5,3,existence,Enumerate solutions for small m and k via brute-force search over distinct prime subsets; check if pattern of solutions grows unboundedly.,"The objects are entirely elementary (primes, fractions, integers) and small cases are directly computable by searching over subsets of primes. However, proving infinitely many solutions likely requires a number-theoretic argument; computation can find many solutions and suggest a construction but cannot resolve the infinitary claim.","Are there infinitely many solutions to \[ \frac{1}{p_1} + \cdots + \frac{1}{p_k} = 1 - \frac{1}{m}, \] where $m \geq 2$ is an integer and $p_1 < \cdots < p_k$ are distinct primes?"
684,#684,open,63.0,5,1,4,2,existence,"Compute f(n) for all n up to 10^4: for each n, iterate k from 0 upward, factor C(n,k) splitting primes <=k vs >k, find first k where the smooth part exceeds n^2; then look for patterns/bounds.","The objects are elementary (binomial coefficients, prime factorizations) and f(n) is directly computable for small n, giving strong empirical evidence for bounds. The problem asks for asymptotic/explicit bounds so computation can strongly suggest conjectures even if proof requires analytic number theory.","For $0 \le k \le n$ write $$\binom{n}{k} = uv$$ where the only primes dividing $u$ are in $[2, k]$ and the only primes dividing $v$ are in $(k, n]$. Let $f(n)$ be the smallest $k$ such that $u > n^2$. Give bounds for $f(n)$."
730,#730,open,63.0,5,1,4,2,existence,"Compute radical (set of prime divisors) of C(2n,n) for n up to 10^6, store as frozensets, look for collisions to build evidence for infinitely many pairs.","The objects are elementary central binomial coefficients and their prime support, easily computed for large ranges. Computational search can find many pairs and strongly suggest the answer is yes, though proving infinitely many requires number-theoretic argument.",Are there infinitely many pairs of integers $n \neq m$ such that $\binom{2n}{n}$ and $\binom{2m}{m}$ have the same set of prime divisors?
849,#849,open,63.0,4,1,5,3,existence,"For each t from 1 to ~20, computationally enumerate binomial coefficients up to a large bound and count multiplicities; check which values a achieve exactly t representations, building evidence for which t values are achievable.","The objects are purely elementary (binomial coefficients, integer counts), and small cases are directly computable by enumerating C(n,k) up to a large N and tallying multiplicities. However, proving existence for all t likely requires non-trivial number-theoretic construction, so depth is moderate.","Is it true that, for every integer $t \geq 1$, there is some integer $a$ such that $\binom{n}{k} = a$ (with $1 \leq k \leq n/2$) has exactly $t$ solutions?"
885,#885,open,63.0,4,1,5,3,existence,"For small k, search for sets of k numbers whose factor difference sets share at least k common elements; compute D(n) for many n and look for large intersections.","The objects (factor pairs and their differences) are elementary and directly computable, making experimental searches for witnesses very feasible. For small k (e.g., k=2,3,4) one can enumerate D(n) for n up to some bound and search for k numbers with large common intersection, giving strong constructive evidence.","For integer $n \geq 1$ we define the factor difference set of $n$ by \[D(n) = \{|a - b| : n = ab\}.\] Is it true that, for every $k \geq 1$, there exist integers $N_1 < \cdots < N_k$ such that \[|\cap_i D(N_i)| \geq k?\]"
123,#123,open,62.0,4,2,4,2,universal,"Fix small coprime triples (a,b,c) like (2,3,5) and computationally check which integers up to some bound can be represented as sums of distinct antichain elements from {2^k 3^l 5^m}; find the threshold beyond which all integers are covered.","The objects (integers of the form a^k b^l c^m forming an antichain under divisibility) are elementary and enumerable, making computational experiments feasible for fixed small cases. However, proving universality for all large integers and all coprime triples requires density/covering arguments that go well beyond standard techniques, so depth is high.","Let $a, b, c \geq 1$ be three integers which are pairwise coprime. Is every large integer the sum of distinct integers of the form $a^k b^l c^m$ ($k, l, m \geq 0$), none of which divide any other?"
131,#131,open,62.0,4,2,4,2,existence,"Write code to find maximal such sets A for small N (up to ~100-200) via greedy or backtracking, measure F(N) growth and check if it exceeds N^{1/2}","Objects are elementary (integer divisibility and subset sums) and small cases are directly computable, making experimental estimation of F(N) feasible. However confirming the N^{1/2-o(1)} lower bound asymptotically requires a construction proof, not just computation.","Let $F(N)$ be the maximal size of $A \subseteq \{1,\ldots,N\}$ such that no $a \in A$ divides the sum of any distinct elements of $A\setminus\{a\}$. Estimate $F(N)$. In particular, is it true that $F(N) > N^{1/2-o(1)}$?"
218,#218,open,62.0,4,2,4,2,universal,"Compute consecutive prime gaps up to 10^8, measure density of n where d_{n+1}>=d_n vs d_{n+1}<d_n, and count equal consecutive gaps.","The objects are elementary (prime gaps) and the density claim is computationally investigable for large primes, giving strong numerical evidence. However, proving density results about prime gaps requires deep analytic number theory, so no computation resolves the conjecture; the equal-gap part is likely easier but still open.","Let $d_n = p_{n+1} - p_n$. The set of $n$ such that $d_{n+1} \geq d_n$ has density $1/2$, and similarly for $d_{n+1} \leq d_n$. Furthermore, there are infinitely many $n$ such that $d_{n+1} = d_n$."
304,#304,open,62.0,4,2,4,2,asymptotic,"Implement greedy (Fibonacci-Sylvester) and other Egyptian fraction algorithms to compute N(a,b) exactly for all a<b up to b~100, tabulate N(b), and compare growth rate against log log b.","The objects are elementary (Egyptian fractions, integers) and small cases are directly computable by searching or greedy algorithms. However, the conjecture is asymptotic and proving or disproving the log log b bound requires deep analytic/combinatorial arguments beyond computational verification.","For integers $1 \le a < b$ let $N(a, b)$ denote the minimal $k$ such that there exist integers $1 < n_1 < \cdots < n_k$ with \[\frac{a}{b} = \frac{1}{n_1} + \cdots + \frac{1}{n_k}.\] Estimate $N(b) = \max_{1 \le a < b} N(a, b)$. Is it true that $N(b) \ll \log \log b$?"
312,#312,open,62.0,4,2,4,2,existence,"For small K values, enumerate multisets A with harmonic sum just above K and search for subsets S whose reciprocal sum lands in (1-e^{-cK},1]; test whether a fixed c (e.g. c=1) works across many random instances.","The objects are elementary (multisets of positive integers, subset sums of reciprocals) and small cases are computationally accessible via subset-sum search. However, the problem is fundamentally an existence claim about a universal constant c, so computation can build intuition and suggest the right c but cannot resolve the question.","Does there exist some $c > 0$ such that, for any $K > 1$, whenever $A$ is a sufficiently large finite multiset of positive integers with $\sum_{n \in A} \frac{1}{n} > K$ there exists some $S \subseteq A$ such that \[1 - e^{-cK} < \sum_{n \in S} \frac{1}{n} \leq 1?\]"
319,#319,open,62.0,4,2,4,2,exact_value,"Enumerate all subsets A of {1,...,N} with ±1/n signs summing to zero and no proper subset also summing to zero (i.e., minimal zero-sum sets); compute max |A| for small N to find the sequence and look it up in OEIS.","The objects are elementary (integers, ±1 signs, rational sums), and the minimality condition is directly checkable by computer for small N. However, finding the asymptotic answer likely requires number-theoretic insight about Egyptian fraction representations, so purely computational work gives data but not a proof.","What is the size of the largest $A \subseteq \{1, \ldots, N\}$ such that there is a function $\delta : A \to \{-1, 1\}$ such that \[\sum_{n \in A} \frac{\delta_n}{n} = 0\] and \[\sum_{n \in A'} \frac{\delta_n}{n} \neq 0\] for all non-empty $A' \subsetneq A$?"
334,#334,open,62.0,4,2,4,2,exact_value,"For each n up to some bound, find the minimum f such that n=a+b with both a,b f-smooth; tabulate and look for patterns/extremes","The objects are elementary (smooth numbers, integer partitions) and small cases are directly computable by searching all splits n=a+b and checking smoothness. However, finding the optimal asymptotic f(n) requires deep analytic number theory about smooth number distributions, so computation informs but cannot resolve the problem.","Find the best function $f(n)$ such that every $n$ can be written as $n = a + b$ where both $a, b$ are $f(n)$-smooth (that is, are not divisible by any prime $p > f(n)$.)"
357,#357,open,62.0,4,2,4,2,asymptotic,"Enumerate maximal such sets for small n (n up to ~50) via backtracking/integer programming, compute f(n), and fit growth rate to distinguish o(n) from Theta(n).","The objects are integer sets with a distinctness condition on contiguous subsums, entirely elementary to state and check. Small cases are computationally feasible and could reveal whether f(n)/n tends to 0, giving strong empirical evidence on the o(n) question, though a proof would require deeper analytic/combinatorial work.",Let $1 \leq a_1 < \cdots < a_k \leq n$ be integers such that all sums of the shape $\sum_{u<i<v} a_i$ are distinct. Let $f(n)$ be the maximal such $k$. How does $f(n)$ grow? Is $f(n) = o(n)$?
359,#359,open,62.0,4,2,4,2,asymptotic,"Implement the greedy sequence construction for small starting values n, compute a(N)/N for large N, and look for patterns or near-zero liminf behavior","The sequence is constructively defined and easily computable, making numerical experiments straightforward and informative about density behavior. However the question is asymptotic/analytic in nature so computation informs but cannot resolve it; the problem statement also has a minor notational issue (c>0 seems like it should be n>0) suggesting possible transcription garbling.","Let $a_1 < a_2 < \cdots$ be an infinite sequence of integers such that $a_1 = n$ and $a_{i+1}$ is the least integer which is not a sum of consecutive earlier $a_j$s. What can be said about the density of this sequence? In particular, is it true that $\liminf_{N \to \infty} \frac{a(N)}{N} > 0$ for any $c > 0$?"
361,#361,open,62.0,4,2,4,2,exact_value,"For small n and various c, enumerate all subsets A of {1,...,floor(cn)} avoiding n as a subset sum, find maximum |A|, look for patterns/irregularities as n varies.","The objects are elementary (integers, subset sums) and the question is computationally tractable for small n via subset-sum DP plus greedy/exhaustive search over A. However, the 'irregular dependence on n' question makes this partly asymptotic/structural, requiring insight beyond computation.","Let $c > 0$ and $n$ be some large integer. What is the size of the largest $A \subseteq \{1,\ldots,[cn]\}$ such that $n$ is not a sum of a subset of $A$? Does this depend on $n$ in an irregular way?"
383,#383,open,62.0,4,2,4,2,universal,"For small k (k=1,2,3), search for primes p where all prime factors of prod_{0<=i<=k}(p^2+i) are <= p, then check if p itself divides the product (it doesn't since p^2+i < p^3 for large p... actually check if largest prime factor equals p exactly).","The objects are elementary (primes, products of consecutive integers near p^2), and small cases are computationally checkable by factoring p^2+i for small primes p and fixed k. However, the problem asks for infinitely many primes satisfying a condition, so computation can only provide evidence, not proof; the question is essentially about whether p^2+1,...,p^2+k are all p-smooth or have p as largest factor, which is a hard analytic number theory question.",Is it true that for every $k$ there are infinitely many primes $p$ such that the largest prime divisor of \[\prod_{0 \le i \le k} (p^2 + i)\] is $p$?
388,#388,open,62.0,4,2,4,2,existence,"Enumerate small values of k1,k2,m1,m2 (all ≤ 1000) to find all cases where the product difference equals a perfect power or zero, cataloging solutions and looking for patterns","The objects are just products of consecutive integers (falling factorials / partial factorials), making this elementary and computationally tractable for small parameters. However the finiteness question likely requires deeper Diophantine tools (e.g., Baker's theorem on linear forms in logarithms), so computational evidence can inform but not resolve it.","Can one classify all solutions of \[ \prod_{1 \le i \le k_1} (m_1 + b) - \prod_{1 \le j \le k_2} (m_2 + j) \] where $k_1, k_2 > 3$ and $m_1 + k_1 \le m_2$? Are there only finitely many solutions?"
410,#410,open,62.0,4,2,4,2,universal,"Iterate sigma starting from small n, track sigma_k(n)^(1/k) for k up to 100-200, check growth rates and whether any orbit could be bounded","Objects are elementary (iterated sum-of-divisors), and one can computationally trace orbits for many starting values to see if the ratio grows. However, a counterexample would require an orbit where sigma_k(n)^(1/k) stays bounded, which would likely require a cycle or very slow growth—hard to disprove computationally since the limit is asymptotic, making this more of a proof problem.","Let $\sigma_1(n) = \sigma(n)$, the sum of divisors function, and $\sigma_k(n) = \sigma(\sigma_{k-1}(n))$. Is it true that for all $n \geq 2$ \[\lim_{k \to \infty} \sigma_k(n)^{1/k} = \infty?\]"
413,#413,open,62.0,4,2,4,2,existence,"Enumerate n up to 10^6: for each n check if it is unreachable as m+omega(m) for any m<n, collecting such 'gaps'; then test the epsilon variant by scanning for n where no m<n satisfies m+epsilon*omega(m)>n.","The objects (omega(n), basic arithmetic) are elementary and small cases are directly computable, making experimental verification of the first question feasible. However, proving infinitely many such n likely requires analytic number theory on prime gaps and omega distribution, so depth is high despite accessibility.","Let $\omega(n)$ count the number of distinct primes dividing $n$. Are there infinitely many $n$ such that, for all $m < n$, we have $m + \omega(m) \leq n$? Can one show that there exists an $\epsilon > 0$ such that there are infinitely many $n$ where $m + \epsilon\omega(m) \leq n$ for all $m < n$?"
463,#463,open,62.0,4,2,4,2,existence,"For small n, compute p(m) for composites m and search for gaps where composite m satisfies n+f(n)<m<n+p(m); try f(n)=log(n) and scan composites near n","The objects are elementary (integers, least prime factor, composites) and the condition is directly checkable computationally for specific f and n. However, existence problems require construction or proof rather than counterexample search, so computational experiments can suggest candidate f but cannot resolve the problem.","Is there a function $f$ with $f(n) \to \infty$ as $n \to \infty$ such that, for all large $n$, there is a composite number $m$ such that $$n + f(n) < m < n + p(m)?$$ (Here $p(m)$ is the least prime factor of $m$.)"
468,#468,open,62.0,4,2,4,2,other,"Compute D_n for all n up to 10^4: enumerate divisors, form prefix sums, track which N first appear in D_n to build f(N) and test f(N)/N->0","Objects are elementary (divisors, prefix sums of sorted divisors), and small-case computation is direct and informative for the asymptotic question f(N)=o(N). The problem has multiple sub-questions of varying hardness, but the asymptotic part likely needs analytic number theory beyond what computation alone can settle.","For any $n$ let $D_n$ be the set of sums of the shape $d_1, d_1 + d_2, d_1 + d_2 + d_3, \ldots$ where $1 < d_1 < d_2 < \cdots$ are the divisors of $n$. What is the size of $D_n \setminus \bigcup_{m < n} D_m$? If $f(N)$ is the minimal $n$ such that $N \in D_n$ then is it true that $f(N) = o(N)$? Perhaps just for almost all $N$?"
531,#531,open,62.0,4,2,4,2,asymptotic,"Write code to compute F(k) exactly for k=2,3,4,5 via brute-force 2-colorings and check all k-subsets for monochromatic subset sums, then fit exponential/polynomial growth.","The objects are elementary (integers, 2-colorings, subset sums) and small cases are fully computable by brute force. However the problem asks for an asymptotic estimate, so computation informs but cannot resolve the question.","Let $F(k)$ be the minimal $N$ such that if we two-colour $\{1,\ldots,N\}$ there is a set $A$ of size $k$ such that all subset sums $\sum_{a \in S} a$ (for $\emptyset \neq S \subseteq A$) are monochromatic. Estimate $F(k)$."
536,#536,open,62.0,4,2,4,2,asymptotic,"Write code to find maximal forbidden-triple-free subsets of {1..N} for small N (N up to ~100) via greedy or exact search, then fit f(N)/N to check if it tends to 0","The condition [a,b]=[b,c]=[a,c] means all three pairwise LCMs are equal, which is elementary to check computationally. Small-N experiments can give strong evidence about whether f(N)=o(N) or f(N)=Θ(N), though proving the asymptotic is hard.","Let $f(N)$ be the largest size of $A \subseteq \{1,\ldots,N\}$ with the property that there are no distinct $a, b, c \in A$ such that \[[a, b] = [b, c] = [a, c],\] where $[a, b]$ denotes the least common multiple. Estimate $f(N)$ - in particular, is it true that $f(N) = o(N)$?"
769,#769,open,62.0,4,2,4,2,asymptotic,"Computationally determine c(n) for small n (2,3,4) by searching valid decompositions, then check growth rate against n^n","The objects (cube decompositions into smaller homothetic cubes) are elementary and small cases are computationally tractable. The core question about whether c(n)≫n^n is asymptotic and likely needs combinatorial insight, but small-n experiments can strongly inform conjectured bounds.","Let $c(n)$ be minimal such that if $k \geq c(n)$ then the $n$-dimensional unit cube can be decomposed into $k$ homothetic $n$-dimensional cubes. Give good bounds for $c(n)$ - in particular, is it true that $c(n) \gg n^n$?"
782,#782,open,62.0,4,2,4,2,existence,"For small k and C, computationally search for quasi-progressions in squares up to N; for the cube part, search for combinatorial cube structures in squares up to large N to find examples or bound density","The objects are elementary (perfect squares, arithmetic-like sequences) and both questions are existence claims amenable to computational search for small witnesses. However, confirming 'arbitrarily large' requires proof, so computation can only find examples or suggest the answer, not resolve the problem fully.","Do the squares contain arbitrarily long quasi-progressions? That is, does there exist some constant $C > 0$ such that, for any $k$, the squares contain a sequence $x_1, \ldots, x_k$ where, for some $d$ and all $1 \le i < k$, $$x_i + d \le x_{i+1} \le x_i + d + C.$$ Do the squares contain arbitrarily large cubes $$a + \left\{\sum_i \epsilon_i b_i : \epsilon_i \in \{0,1\}\right\}?$$"
786,#786,open,62.0,4,2,4,2,existence,"For small N, search for maximal subsets of {1,...,N} with the 'equal number of factors' property by greedy/backtracking, measuring how close to N the max size gets.","The objects are elementary (subsets of integers, products), and small finite cases are directly computable by checking all product representations. The problem is hard theoretically (multiplicative structure of integers), but experiments on {1,...,N} for modest N could clarify the o(1) gap and suggest constructions.","Let $\epsilon > 0$. Is there some set $A \subset \mathbb{N}$ of density $> 1 - \epsilon$ such that $a_1 \cdots a_r = b_1 \cdots b_s$ with $a_i, b_j \in A$ can only hold when $r = s$? Similarly, can one always find a set $A \subset \{1,\ldots,N\}$ with this property of size $\geq (1 - o(1))N$?"
872,#872,open,62.0,4,2,4,2,existence,"Implement the game with minimax search for small n (n up to 30-50), compute exact game lengths under optimal play, and look for patterns approaching n/2 or epsilon*n bounds.","The objects (integers, divisibility, combinatorial game) are elementary and small cases are fully computable via minimax. However the core question is asymptotic (existence of epsilon>0 guarantee), so computation informs but cannot resolve the problem without a proof.","Consider the two-player game in which players alternately choose integers from $\{2, 3, \ldots, n\}$ to be included in some set $A$ (the same set for both players) such that no $a \mid b$ for $a \neq b \in A$. The game ends when no legal move is possible. One player wants the game to last as long as possible, the other wants the game to end quickly. How long can the game be guaranteed to last for? At least $\epsilon n$ moves? (For $\epsilon > 0$ and $n$ sufficiently large.) At least $(1 - \epsilon) \frac{n}{2}$ moves?"
887,#887,open,62.0,4,2,4,2,existence,"For small n, count divisors in (sqrt(n), sqrt(n)+C*n^{1/4}) and look for numbers with many such divisors; try highly composite numbers to find candidates that grow unboundedly.","The objects are elementary (divisors of integers in an interval near sqrt(n)), making computation straightforward. However, the question asks about an absolute constant holding for ALL large n and ALL C>0, so finite experiments can suggest but not resolve the existence question.","Is there an absolute constant $K$ such that, for every $C > 0$, if $n$ is sufficiently large then $n$ has at most $K$ divisors in $(n^{1/2}, n^{1/2} + Cn^{1/4})$."
889,#889,open,62.0,4,2,4,2,asymptotic,"Compute v0(n) = max_{k>=0} v(n,k) for n up to 10^6: check if the minimum of v0(n) over large n grows, or find n where v0(n) stays small","The objects are elementary (prime factorizations, small integer arithmetic) and v(n,k) is directly computable, making large-scale experiments feasible. However, the claim is asymptotic (v0(n)->infinity), so computation can only suggest truth or find counterexamples where v0(n) stays bounded, not prove the result.","For $k \geq 0$ and $n \geq 1$ let $v(n,k)$ count the prime factors of $n+k$ which do not divide $n+i$ for $0 \leq i < k$. Equivalently, $v(n,k)$ counts the number of prime factors of $n+k$ which are $> k$. Is it true that $$v_0(n) = \max_{k \geq 0} v(n,k) \to \infty$$ as $n \to \infty$?"
